SPEC,year,month,n
AMGO,2011,06,1
AMGO,2011,07,10
AMGO,2011,08,2
AMGO,2011,09,3
AMGO,2012,05,10
AMGO,2012,06,9
AMGO,2012,07,2
AMGO,2013,05,4
AMGO,2014,05,3
AMGO,2014,06,11
AMGO,2014,07,2
AMGO,2015,05,2
AMGO,2015,06,1
AMGO,2015,07,1
AMGO,2016,05,1
AMGO,2018,08,1
AMGO,2022,06,1
AMGO,2022,08,1
AMKE,1984,01,1
AMKE,1988,11,1
AMKE,2002,01,1
AMKE,2006,01,1
AMKE,2007,02,1
AMKE,2010,01,1
AMRE,1979,10,1
AMRE,1980,06,1
AMRE,1981,09,1
AMRE,1982,07,1
AMRE,1982,09,2
AMRE,1985,06,1
AMRE,1986,09,1
AMRE,1987,08,1
AMRE,1987,09,2
AMRE,1988,06,1
AMRE,2000,06,1
AMRE,2023,09,1
AMRO,1979,03,2
AMRO,1979,04,1
AMRO,1979,05,1
AMRO,1979,06,5
AMRO,1979,07,8
AMRO,1980,01,6
AMRO,1980,02,1
AMRO,1980,03,2
AMRO,1980,04,2
AMRO,1980,05,3
AMRO,1980,06,2
AMRO,1980,07,2
AMRO,1981,02,1
AMRO,1981,04,1
AMRO,1981,05,3
AMRO,1981,06,7
AMRO,1981,07,4
AMRO,1981,08,2
AMRO,1981,12,1
AMRO,1982,01,4
AMRO,1982,02,1
AMRO,1982,05,2
AMRO,1982,06,11
AMRO,1982,07,4
AMRO,1982,12,1
AMRO,1983,02,1
AMRO,1983,03,2
AMRO,1983,04,2
AMRO,1983,05,1
AMRO,1983,06,2
AMRO,1983,12,4
AMRO,1984,01,1
AMRO,1984,02,1
AMRO,1984,04,2
AMRO,1984,05,7
AMRO,1984,06,2
AMRO,1984,07,4
AMRO,1984,10,1
AMRO,1984,11,1
AMRO,1984,12,2
AMRO,1985,01,1
AMRO,1985,02,3
AMRO,1985,03,1
AMRO,1985,04,3
AMRO,1985,05,4
AMRO,1985,06,2
AMRO,1985,07,6
AMRO,1986,04,2
