year,month,nethours
2023,04,1702.84
2023,05,2903.25
2023,06,2875.33
2023,07,2945
2023,08,3057.01
2023,09,2778.99
2023,10,2576.09
2023,11,1856.93
2023,12,1447.19
2024,01,1376.22
2024,02,1263.15
2024,03,1656.8700000000001
2024,04,1599.17
2024,05,2658.34
2024,06,2869.33
2024,07,3029.73
2024,08,2958.24
2024,09,2706.46
2024,10,2715
2024,11,1951.43
2024,12,1281.24
2025,01,1692.53
2025,02,1254.73
2025,03,1334.65
2025,04,2049.96
2025,05,2814.06
2025,06,2862.07
2025,07,2709.83
2025,08,1635.07
2025,09,973.35
2025,10,1259.18
2025,11,1024.64
2025,12,1032.79
